Região Habilitação Atual;UF Habilitação Atual;Sexo;Categoria;A-Condutor Moto;AB-Condutor Moto/Carro;AC-Condutor Moto/Caminhão;AD-Condutor Moto/Ônibus;AE-Condutor Moto/Carreta;B-Condutor Carro;C-Condutor Caminhão;D-Condutor Ônibus;E-Condutor Carreta;X-Condutor Ciclomotor;XB-Condutor Ciclomotor/Carro;XC-Condutor Ciclomotor/Caminhão;XD-Condutor Ciclomotor/Ônibus;XE-Condutor Ciclomotor/Carreta;Total
;;;Faixa Etária;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico
;;;61 a 70;2.155 ;12.519 ;2.437 ;5.036 ;957 ;23.263 ;4.480 ;10.816 ;1.386 ;;;;;;63.049 
;;;71 a 80;552 ;3.359 ;587 ;925 ;111 ;15.647 ;3.172 ;4.955 ;448 ;;;;;;29.756 
;;;81 a 90;113 ;452 ;133 ;109 ;12 ;5.914 ;2.122 ;1.499 ;75 ;;;;;;10.429 
;;;91 a 100;14 ;45 ;28 ;13 ;1 ;1.820 ;782 ;252 ;9 ;;;;;;2.964 
;;;101 a 120;;4 ;;;;325 ;87 ;11 ;1 ;;;;;;428 
;;;Total;42.833 ;317.760 ;9.795 ;83.183 ;18.077 ;185.982 ;15.406 ;43.459 ;6.590 ;;2 ;;;;723.087 
;;Feminino;18 a 21;302 ;3.352 ;;;;3.051 ;;;;;;;;;6.705 
;;;22 a 25;1.418 ;8.815 ;;17 ;;7.425 ;;7 ;;;1 ;;;;17.683 
;;;26 a 30;3.415 ;17.047 ;;109 ;2 ;16.438 ;;26 ;1 ;;;;;;37.038 
;;;31 a 40;8.088 ;37.042 ;2 ;477 ;47 ;46.065 ;;148 ;8 ;;;;;;91.877 
;;;41 a 50;5.436 ;22.594 ;28 ;414 ;44 ;41.641 ;15 ;243 ;12 ;;;;;;70.427 
;;;51 a 60;1.912 ;7.414 ;74 ;131 ;16 ;26.311 ;61 ;206 ;12 ;;;;;;36.137 
;;;61 a 70;318 ;1.613 ;42 ;33 ;7 ;15.315 ;78 ;120 ;6 ;;;;;;17.532 
;;;71 a 80;27 ;173 ;5 ;1 ;;6.264 ;25 ;23 ;2 ;;;;;;6.520 
;;;81 a 90;1 ;14 ;;2 ;;1.655 ;10 ;5 ;;;;;;;1.687 
;;;91 a 100;;;;;;320 ;;;;;;;;;320 
;;;101 a 120;;;;;;30 ;;;;;;;;;30 
;;;Total;20.917 ;98.064 ;151 ;1.184 ;116 ;164.515 ;189 ;778 ;41 ;;1 ;;;;285.956 
;;Total;;63.750 ;415.824 ;9.946 ;84.367 ;18.193 ;350.497 ;15.595 ;44.237 ;6.631 ;;3 ;;;;1.009.043 
;Paraíba;Masculino;18 a 21;210 ;11.585 ;42 ;29 ;1 ;3.556 ;1 ;;;;;;;;15.424 
;;;22 a 25;1.168 ;29.268 ;139 ;1.245 ;94 ;7.402 ;12 ;61 ;7 ;1 ;1 ;;;;39.398 
;;;26 a 30;2.796 ;48.071 ;129 ;4.052 ;501 ;12.825 ;7 ;289 ;35 ;;;;;;68.705 
;;;31 a 40;8.331 ;103.770 ;1.120 ;17.692 ;3.382 ;29.950 ;121 ;1.723 ;376 ;7 ;1 ;;;;166.473 
;;;41 a 50;6.930 ;76.170 ;2.280 ;18.928 ;4.523 ;34.943 ;788 ;5.040 ;1.358 ;3 ;1 ;;;;150.964 
;;;51 a 60;4.336 ;41.475 ;3.570 ;9.749 ;2.490 ;33.449 ;2.951 ;6.512 ;1.720 ;8 ;1 ;;;;106.261 
;;;61 a 70;1.915 ;19.080 ;1.553 ;4.317 ;937 ;34.579 ;3.021 ;8.000 ;1.341 ;3 ;1 ;;;;74.747 
;;;71 a 80;661 ;6.181 ;426 ;943 ;167 ;26.726 ;1.962 ;4.759 ;548 ;1 ;2 ;;;;42.376 
;;;81 a 90;231 ;1.338 ;136 ;178 ;25 ;12.924 ;1.270 ;2.178 ;158 ;;;;;;18.438 
;;;91 a 100;23 ;172 ;18 ;12 ;2 ;4.349 ;392 ;474 ;24 ;;;;;;5.466 
;;;101 a 120;;14 ;;1 ;1 ;701 ;35 ;26 ;1 ;;;;;;779 
;;;Total;26.601 ;337.124 ;9.413 ;57.146 ;12.123 ;201.404 ;10.560 ;29.062 ;5.568 ;23 ;7 ;;;;689.031 
;;Feminino;18 a 21;62 ;2.707 ;;;;3.384 ;;;;;;;;;6.153 
;;;22 a 25;354 ;7.777 ;;5 ;;8.715 ;;1 ;;;;;;;16.852 
;;;26 a 30;1.059 ;14.206 ;1 ;31 ;2 ;17.171 ;;6 ;;;2 ;;;;32.478 
;;;31 a 40;3.294 ;31.245 ;9 ;199 ;20 ;45.629 ;4 ;76 ;2 ;4 ;4 ;;1 ;;80.487 
;;;41 a 50;2.370 ;17.832 ;19 ;253 ;18 ;44.268 ;8 ;200 ;6 ;6 ;2 ;;;;64.982 
;;;51 a 60;836 ;5.585 ;26 ;111 ;17 ;30.785 ;29 ;183 ;7 ;1 ;;;;;37.580 
;;;61 a 70;125 ;1.156 ;4 ;30 ;2 ;21.764 ;40 ;95 ;4 ;;;;;;23.220 
;;;71 a 80;11 ;134 ;2 ;5 ;1 ;10.493 ;17 ;27 ;1 ;1 ;1 ;;;;10.693 
;;;81 a 90;1 ;15 ;;;;3.278 ;2 ;5 ;;;;;;;3.301 
;;;91 a 100;;;;;;629 ;;2 ;;;;;;;631 
;;;101 a 120;;;;;;31 ;;;;;;;;;31 
;;;Total;8.112 ;80.657 ;61 ;634 ;60 ;186.147 ;100 ;595 ;20 ;12 ;9 ;;1 ;;276.408 
;;Total;;34.713 ;417.781 ;9.474 ;57.780 ;12.183 ;387.551 ;10.660 ;29.657 ;5.588 ;35 ;16 ;;1 ;;965.439 
;Pernambuco;Masculino;18 a 21;2.405 ;29.673 ;185 ;81 ;3 ;9.252 ;8 ;8 ;1 ;2 ;1 ;;;;41.619 
;;;22 a 25;8.208 ;67.707 ;694 ;3.684 ;452 ;20.475 ;65 ;237 ;45 ;11 ;;;;;101.578 
;;;26 a 30;10.310 ;113.420 ;1.275 ;13.892 ;2.647 ;32.451 ;70 ;738 ;133 ;11 ;3 ;;;;174.950 
;;;31 a 40;12.733 ;251.563 ;3.696 ;74.482 ;21.306 ;63.670 ;196 ;3.007 ;728 ;35 ;24 ;;;;431.440 
;;;41 a 50;8.396 ;182.872 ;4.764 ;80.021 ;25.677 ;82.048 ;1.102 ;11.801 ;3.796 ;54 ;17 ;;2 ;;400.550 
;;;51 a 60;5.056 ;90.158 ;5.237 ;36.907 ;9.539 ;84.207 ;4.191 ;18.367 ;5.117 ;73 ;13 ;;2 ;2 ;258.869 
;;;61 a 70;1.967 ;36.512 ;2.241 ;12.722 ;2.657 ;85.776 ;4.235 ;21.170 ;4.005 ;67 ;16 ;;;;171.368 
;;;71 a 80;565 ;10.494 ;547 ;2.158 ;379 ;64.798 ;2.773 ;10.589 ;1.297 ;13 ;8 ;;;;93.621 
;;;81 a 90;159 ;1.923 ;148 ;284 ;32 ;32.542 ;1.352 ;3.599 ;262 ;2 ;1 ;;;;40.304 
;;;91 a 100;22 ;217 ;10 ;19 ;2 ;12.059 ;255 ;506 ;19 ;;;;;;13.109 
;;;101 a 120;1 ;14 ;;;;1.676 ;20 ;17 ;;;;;;;1.728 
;;;Mais de 120;;;;;;1 ;;;;;;;;;1 
;;;Total;49.822 ;784.553 ;18.797 ;224.250 ;62.694 ;488.955 ;14.267 ;70.039 ;15.403 ;268 ;83 ;;4 ;2 ;1.729.137 
;;Feminino;18 a 21;291 ;5.091 ;;;;7.042 ;;;;;;;;;12.424 
;;;22 a 25;1.378 ;13.276 ;2 ;24 ;;18.539 ;1 ;4 ;;3 ;;;;;33.227 
;;;26 a 30;2.814 ;26.819 ;21 ;171 ;10 ;38.641 ;3 ;28 ;;12 ;5 ;;;;68.524 
;;;31 a 40;5.690 ;80.454 ;124 ;1.775 ;165 ;106.269 ;18 ;294 ;5 ;23 ;6 ;;;;194.823 
;;;41 a 50;3.180 ;54.350 ;133 ;1.894 ;200 ;112.812 ;48 ;826 ;32 ;20 ;13 ;;;;173.508 
;;;51 a 60;1.056 ;17.355 ;56 ;609 ;64 ;77.312 ;89 ;659 ;32 ;7 ;8 ;;;1 ;97.248 
;;;61 a 70;160 ;3.308 ;20 ;118 ;13 ;50.296 ;67 ;334 ;6 ;2 ;3 ;;;;54.327 
;;;71 a 80;12 ;314 ;5 ;8 ;3 ;24.136 ;22 ;59 ;1 ;1 ;;;;;24.561 
;;;81 a 90;;10 ;1 ;;;6.718 ;5 ;9 ;;;;;;;6.743 
;;;91 a 100;;;;;;904 ;;;;;;;;;904 
;;;101 a 120;;;;;;22 ;;;;;;;;;22 
;;;Total;14.581 ;200.977 ;362 ;4.599 ;455 ;442.691 ;253 ;2.213 ;76 ;68 ;35 ;;;1 ;666.311 
;;Total;;64.403 ;985.530 ;19.159 ;228.849 ;63.149 ;931.646 ;14.520 ;72.252 ;15.479 ;336 ;118 ;;4 ;3 ;2.395.448 
;Piauí;Masculino;18 a 21;117 ;10.715 ;52 ;22 ;5 ;1.789 ;5 ;;;;;;;;12.705 
;;;22 a 25;562 ;25.424 ;131 ;1.102 ;172 ;3.939 ;11 ;29 ;7 ;;;;;;31.377 
;;;26 a 30;1.422 ;40.632 ;119 ;3.693 ;584 ;6.262 ;4 ;109 ;36 ;;;;;;52.861 
;;;31 a 40;3.898 ;88.556 ;311 ;15.457 ;3.353 ;13.900 ;36 ;569 ;148 ;;;;;;126.228 
;;;41 a 50;4.313 ;64.778 ;1.315 ;16.330 ;3.343 ;16.226 ;416 ;2.320 ;653 ;;1 ;;;;109.695 
;;;51 a 60;3.546 ;33.395 ;1.809 ;9.082 ;1.503 ;16.765 ;1.244 ;4.198 ;788 ;;;;;;72.330 
;;;61 a 70;2.016 ;15.769 ;1.203 ;4.375 ;565 ;16.777 ;1.691 ;4.777 ;679 ;;;;;;47.852 
;;;71 a 80;737 ;5.033 ;378 ;1.115 ;122 ;12.431 ;1.057 ;2.821 ;253 ;;;;;;23.947 
;;;81 a 90;172 ;897 ;116 ;224 ;12 ;5.000 ;690 ;1.120 ;85 ;;;;;;8.316 
;;;91 a 100;22 ;107 ;10 ;18 ;;1.523 ;203 ;161 ;10 ;;;;;;2.054 
;;;101 a 120;2 ;10 ;;;;196 ;13 ;9 ;1 ;;;;;;231 
;;;Total;16.807 ;285.316 ;5.444 ;51.418 ;9.659 ;94.808 ;5.370 ;16.113 ;2.660 ;;1 ;;;;487.596 
;;Feminino;18 a 21;25 ;2.809 ;;;;1.978 ;;;;;;;;;4.812 
;;;22 a 25;247 ;7.741 ;;8 ;1 ;5.259 ;1 ;1 ;;;;;;;13.258 
;;;26 a 30;693 ;14.798 ;;41 ;2 ;9.829 ;;5 ;;;;;;;25.368 
;;;31 a 40;2.434 ;34.561 ;2 ;168 ;16 ;25.595 ;2 ;29 ;1 ;;;;;;62.808 
;;;41 a 50;2.212 ;20.731 ;16 ;168 ;13 ;24.599 ;6 ;60 ;4 ;;;;;;47.809 
;;;51 a 60;1.052 ;6.687 ;18 ;75 ;5 ;19.144 ;25 ;75 ;5 ;;;;;;27.086 
;;;61 a 70;233 ;1.453 ;15 ;32 ;2 ;13.108 ;35 ;64 ;4 ;;;;;;14.946 
;;;71 a 80;26 ;169 ;5 ;4 ;;5.549 ;16 ;19 ;1 ;;;;;;5.789 
;;;81 a 90;;14 ;;1 ;;1.313 ;3 ;3 ;;;;;;;1.334 
;;;91 a 100;;;;;;282 ;1 ;2 ;;;;;;;285 
;;;101 a 120;;;;;;9 ;;;;;;;;;9 
;;;Total;6.922 ;88.963 ;56 ;497 ;39 ;106.665 ;89 ;258 ;15 ;;;;;;203.504 
;;Total;;23.729 ;374.279 ;5.500 ;51.915 ;9.698 ;201.473 ;5.459 ;16.371 ;2.675 ;;1 ;;;;691.100 
;Rio Grande do Norte;Masculino;18 a 21;120 ;11.344 ;32 ;34 ;1 ;3.116 ;1 ;1 ;;;;;;;14.649 
;;;22 a 25;506 ;27.746 ;92 ;1.140 ;105 ;6.153 ;6 ;41 ;7 ;;;;;;35.796 
;;;26 a 30;1.137 ;47.158 ;174 ;4.149 ;586 ;10.894 ;9 ;151 ;25 ;1 ;1 ;;;;64.285 
;;;31 a 40;3.122 ;108.699 ;1.032 ;19.035 ;3.709 ;24.218 ;99 ;1.136 ;221 ;1 ;2 ;;;;161.274 
;;;41 a 50;3.688 ;79.620 ;2.700 ;18.985 ;4.754 ;28.763 ;678 ;3.467 ;805 ;8 ;3 ;;;;143.471 
;;;51 a 60;3.366 ;44.301 ;4.138 ;9.060 ;2.704 ;28.891 ;2.533 ;4.571 ;1.093 ;24 ;1 ;;;;100.682 
;;;61 a 70;1.909 ;21.163 ;1.917 ;3.773 ;1.020 ;28.675 ;2.834 ;4.778 ;969 ;18 ;2 ;;1 ;;67.059 
;;;71 a 80;773 ;6.568 ;552 ;755 ;160 ;21.039 ;1.561 ;2.467 ;342 ;2 ;2 ;;;;34.221 
;;;81 a 90;288 ;1.379 ;117 ;135 ;16 ;9.895 ;716 ;899 ;77 ;;;;;;13.522 
;;;91 a 100;30 ;175 ;10 ;8 ;;3.151 ;105 ;115 ;6 ;;;;;;3.600 
;;;101 a 120;3 ;15 ;;;;436 ;4 ;1 ;;;;;;;459 
;;;Mais de 120;;1 ;;;;;;;;;;;;;1 
;;;Total;14.942 ;348.169 ;10.764 ;57.074 ;13.055 ;165.231 ;8.546 ;17.627 ;3.545 ;54 ;11 ;;1 ;;639.019 
;;Feminino;18 a 21;39 ;3.019 ;;;;3.036 ;;;;;;;;;6.094 
;;;22 a 25;158 ;8.435 ;;14 ;1 ;7.615 ;;2 ;;;;;;;16.225 
;;;26 a 30;422 ;16.324 ;;42 ;1 ;15.521 ;;11 ;;3 ;2 ;;;;32.326 
;;;31 a 40;1.295 ;40.137 ;10 ;244 ;13 ;43.315 ;10 ;65 ;3 ;8 ;6 ;;;;85.106 
;;;41 a 50;1.365 ;25.765 ;39 ;276 ;20 ;42.693 ;22 ;186 ;2 ;14 ;1 ;;;;70.383 
;;;51 a 60;903 ;9.921 ;46 ;114 ;16 ;30.669 ;44 ;185 ;3 ;14 ;6 ;;;;41.921 
;;;61 a 70;253 ;2.331 ;15 ;34 ;3 ;21.397 ;41 ;98 ;4 ;1 ;1 ;;;;24.178 
;;;71 a 80;25 ;269 ;;5 ;;9.963 ;19 ;32 ;;;;;;;10.313 
;;;81 a 90;;18 ;1 ;;;2.733 ;5 ;3 ;;;;;;;2.760 
;;;91 a 100;;;;;;504 ;;1 ;;;;;;;505 
;;;101 a 120;;;;;;20 ;;;;;;;;;20 
;;;Total;4.460 ;106.219 ;111 ;729 ;54 ;177.466 ;141 ;583 ;12 ;40 ;16 ;;;;289.831 
;;Total;;19.402 ;454.388 ;10.875 ;57.803 ;13.109 ;342.697 ;8.687 ;18.210 ;3.557 ;94 ;27 ;;1 ;;928.850 
;Sergipe;Masculino;18 a 21;320 ;8.165 ;102 ;25 ;4 ;1.903 ;2 ;;1 ;;;;;;10.522 
;;;22 a 25;1.243 ;20.301 ;397 ;1.025 ;128 ;4.395 ;17 ;46 ;8 ;;;;;;27.560 
;;;26 a 30;2.513 ;33.041 ;668 ;3.698 ;779 ;7.585 ;36 ;219 ;30 ;;;;;;48.569 
;;;31 a 40;5.247 ;64.663 ;1.299 ;14.485 ;4.106 ;18.694 ;142 ;1.579 ;501 ;;;;;;110.716 
;;;41 a 50;4.725 ;44.443 ;1.145 ;13.170 ;3.877 ;23.860 ;518 ;4.555 ;1.458 ;2 ;1 ;;;;97.754 
;;;51 a 60;3.745 ;23.831 ;1.165 ;6.600 ;1.635 ;22.784 ;1.048 ;5.057 ;1.410 ;3 ;;;;;67.278 
;;;61 a 70;1.748 ;9.418 ;659 ;2.120 ;544 ;21.350 ;1.543 ;4.314 ;1.347 ;4 ;1 ;;;;43.048 
;;;71 a 80;545 ;2.501 ;148 ;385 ;74 ;14.667 ;927 ;2.311 ;457 ;6 ;2 ;;;;22.023 
;;;81 a 90;131 ;340 ;17 ;56 ;5 ;5.825 ;363 ;988 ;86 ;1 ;1 ;;;;7.813 
;;;91 a 100;12 ;24 ;1 ;5 ;;1.758 ;66 ;240 ;5 ;;;;;;2.111 
;;;101 a 120;;1 ;;;;230 ;4 ;11 ;;;;;;;246 
;;;Total;20.229 ;206.728 ;5.601 ;41.569 ;11.152 ;123.051 ;4.666 ;19.320 ;5.303 ;16 ;5 ;;;;437.640 
;;Feminino;18 a 21;56 ;1.980 ;1 ;1 ;;1.819 ;;;;;;;;;3.857 
;;;22 a 25;302 ;5.916 ;2 ;7 ;;4.763 ;;3 ;;;;;;;10.993 
;;;26 a 30;714 ;11.001 ;9 ;26 ;3 ;10.085 ;;8 ;;1 ;2 ;;;;21.849 
;;;31 a 40;1.672 ;22.326 ;16 ;189 ;18 ;29.242 ;6 ;66 ;2 ;;1 ;;;;53.538 
;;;41 a 50;1.273 ;11.995 ;18 ;184 ;12 ;29.891 ;6 ;147 ;3 ;1 ;2 ;;;;43.532 
;;;51 a 60;483 ;3.363 ;10 ;63 ;12 ;20.208 ;11 ;128 ;3 ;5 ;2 ;;;;24.288 
;;;61 a 70;93 ;527 ;3 ;15 ;3 ;12.527 ;14 ;45 ;3 ;5 ;2 ;;;;13.237 
;;;71 a 80;8 ;51 ;;1 ;;5.378 ;10 ;18 ;;;;;;;5.466 
;;;81 a 90;;5 ;;;;1.260 ;4 ;5 ;;;;;;;1.274 
;;;91 a 100;;;;;;220 ;;;;;;;;;220 
;;;101 a 120;;;;;;17 ;;;;;;;;;17 
;;;Total;4.601 ;57.164 ;59 ;486 ;48 ;115.410 ;51 ;420 ;11 ;12 ;9 ;;;;178.271 
;;Total;;24.830 ;263.892 ;5.660 ;42.055 ;11.200 ;238.461 ;4.717 ;19.740 ;5.314 ;28 ;14 ;;;;615.911 
;Total;;;591.673 ;5.721.256 ;92.829 ;935.913 ;206.638 ;4.958.673 ;106.582 ;413.877 ;80.220 ;549 ;303 ;1 ;6 ;3 ;13.108.523 
Norte;Acre;Masculino;18 a 21;771 ;5.984 ;18 ;15 ;1 ;673 ;;;;;;;;;7.462 
;;;22 a 25;1.813 ;11.228 ;32 ;548 ;51 ;1.077 ;2 ;6 ;;;;;;;14.757 
;;;26 a 30;3.255 ;15.916 ;26 ;1.437 ;210 ;1.551 ;1 ;34 ;7 ;;;;;;22.437 
;;;31 a 40;5.561 ;29.472 ;117 ;5.803 ;1.140 ;2.931 ;9 ;137 ;21 ;;;;;;45.191 
;;;41 a 50;3.842 ;23.315 ;569 ;6.297 ;1.377 ;3.309 ;100 ;399 ;114 ;2 ;;;;;39.324 
;;;51 a 60;1.967 ;12.238 ;1.728 ;2.958 ;763 ;2.884 ;214 ;367 ;101 ;1 ;;;;;23.221 
;;;61 a 70;675 ;5.220 ;928 ;1.484 ;312 ;3.251 ;464 ;640 ;162 ;1 ;;;;;13.137 
;;;71 a 80;157 ;1.722 ;255 ;327 ;46 ;2.468 ;270 ;332 ;60 ;;;;;;5.637 
;;;81 a 90;28 ;260 ;56 ;56 ;3 ;926 ;122 ;112 ;10 ;;;;;;1.573 
;;;91 a 100;6 ;18 ;16 ;13 ;3 ;254 ;43 ;17 ;;;;;;;370 
;;;101 a 120;1 ;;1 ;1 ;;30 ;2 ;;;;;;;;35 
;;;Total;18.076 ;105.373 ;3.746 ;18.939 ;3.906 ;19.354 ;1.227 ;2.044 ;475 ;4 ;;;;;173.144 
;;Feminino;18 a 21;688 ;2.671 ;;1 ;;867 ;;;;;;;;;4.227 
;;;22 a 25;1.595 ;5.911 ;;18 ;;1.678 ;;1 ;;;;;;;9.203 
;;;26 a 30;3.013 ;9.502 ;3 ;48 ;3 ;2.774 ;;2 ;;;;;;;15.345 
;;;31 a 40;6.665 ;18.567 ;1 ;186 ;12 ;5.928 ;1 ;19 ;;;;;;;31.379 
;;;41 a 50;4.776 ;11.589 ;7 ;174 ;18 ;6.737 ;4 ;33 ;1 ;1 ;;;;;23.340 
;;;51 a 60;1.412 ;4.260 ;28 ;43 ;7 ;5.203 ;5 ;26 ;2 ;1 ;;;;;10.987 
;;;61 a 70;242 ;1.113 ;14 ;5 ;;3.058 ;9 ;8 ;1 ;1 ;;;;;4.451 
;;;71 a 80;24 ;172 ;4 ;;;1.124 ;7 ;1 ;;;;;;;1.332 
;;;81 a 90;;20 ;;;;211 ;1 ;1 ;;;;;;;233 
;;;91 a 100;;;;;;26 ;;;;;;;;;26 
;;;Total;18.415 ;53.805 ;57 ;475 ;40 ;27.606 ;27 ;91 ;4 ;3 ;;;;;100.523 
;;Total;;36.491 ;159.178 ;3.803 ;19.414 ;3.946 ;46.960 ;1.254 ;2.135 ;479 ;7 ;;;;;273.667 
;Amazonas;Masculino;18 a 21;1.327 ;8.224 ;2 ;16 ;;6.376 ;;5 ;;;;;;;15.950 
;;;22 a 25;3.894 ;20.172 ;;1.010 ;89 ;13.501 ;;184 ;13 ;;1 ;;;;38.864 
;;;26 a 30;6.489 ;32.103 ;9 ;3.322 ;598 ;22.297 ;6 ;846 ;122 ;;;;;;65.792 
;;;31 a 40;12.818 ;63.847 ;61 ;12.884 ;3.222 ;46.068 ;24 ;3.924 ;1.015 ;;;;;;143.863 
;;;41 a 50;9.833 ;46.518 ;511 ;13.232 ;3.418 ;47.188 ;430 ;7.190 ;1.765 ;;1 ;;;;130.086 
;;;51 a 60;4.664 ;20.185 ;1.518 ;6.056 ;1.492 ;36.713 ;2.083 ;6.826 ;1.401 ;;;;;;80.938 
;;;61 a 70;1.519 ;8.062 ;1.288 ;2.626 ;560 ;25.304 ;2.667 ;5.604 ;862 ;;;1 ;;;48.493 
;;;71 a 80;329 ;2.761 ;374 ;551 ;83 ;13.137 ;1.491 ;2.021 ;245 ;;;;;;20.992 
;;;81 a 90;62 ;534 ;105 ;57 ;4 ;4.495 ;989 ;430 ;26 ;;;;;;6.702 
;;;91 a 100;11 ;61 ;15 ;4 ;;1.178 ;348 ;35 ;1 ;;;;;;1.653 
;;;101 a 120;1 ;7 ;1 ;;;119 ;28 ;1 ;;;;;;;157 
;;;Total;40.947 ;202.474 ;3.884 ;39.758 ;9.466 ;216.376 ;8.066 ;27.066 ;5.450 ;;2 ;1 ;;;553.490 
;;Feminino;18 a 21;347 ;2.073 ;;1 ;;5.468 ;;;;;;;;;7.889 
;;;22 a 25;1.244 ;5.533 ;;25 ;1 ;13.096 ;;7 ;;;;;;;19.906 
;;;26 a 30;2.249 ;9.853 ;;85 ;8 ;23.400 ;;55 ;2 ;;;;;;35.652 
;;;31 a 40;4.741 ;19.837 ;;502 ;46 ;54.398 ;3 ;297 ;15 ;;;;;;79.839 
;;;41 a 50;3.036 ;11.155 ;7 ;486 ;64 ;48.830 ;9 ;501 ;26 ;;;;;;64.114 
;;;51 a 60;1.226 ;3.240 ;26 ;131 ;19 ;27.494 ;36 ;294 ;14 ;;;;;;32.480 
;;;61 a 70;386 ;884 ;12 ;30 ;4 ;14.467 ;27 ;110 ;4 ;;;;;;15.924 
;;;71 a 80;64 ;165 ;6 ;4 ;1 ;5.717 ;9 ;14 ;;;;;;;5.980 
;;;81 a 90;9 ;19 ;;1 ;;1.245 ;3 ;1 ;;;;;;;1.278 
;;;91 a 100;;2 ;;;;205 ;;;;;;;;;207 
;;;101 a 120;;;;;;6 ;;;;;;;;;6 
;;;Total;13.302 ;52.761 ;51 ;1.265 ;143 ;194.326 ;87 ;1.279 ;61 ;;;;;;263.275 
;;Total;;54.249 ;255.235 ;3.935 ;41.023 ;9.609 ;410.702 ;8.153 ;28.345 ;5.511 ;;2 ;1 ;;;816.765 
;Amapá;Masculino;18 a 21;107 ;1.289 ;;;;1.094 ;;1 ;;;;;;;2.491 
;;;22 a 25;451 ;3.565 ;;86 ;5 ;2.473 ;;28 ;;;;;;;6.608 
;;;26 a 30;1.292 ;6.532 ;1 ;459 ;52 ;4.636 ;;123 ;12 ;;;;;;13.107 
;;;31 a 40;3.865 ;16.145 ;28 ;2.910 ;573 ;8.350 ;5 ;730 ;70 ;;;;;;32.676 
;;;41 a 50;2.461 ;13.657 ;436 ;4.082 ;920 ;7.627 ;146 ;1.032 ;128 ;;;;;;30.489 
;;;51 a 60;1.048 ;6.883 ;675 ;2.908 ;606 ;5.590 ;514 ;1.444 ;233 ;;;;;;19.901 
;;;61 a 70;288 ;2.644 ;382 ;1.240 ;372 ;4.027 ;605 ;1.489 ;284 ;;;;;;11.331 
;;;71 a 80;65 ;705 ;106 ;256 ;48 ;2.274 ;318 ;510 ;73 ;;;;;;4.355 
;;;81 a 90;5 ;107 ;27 ;43 ;5 ;710 ;226 ;189 ;20 ;;;;;;1.332 
;;;91 a 100;;10 ;5 ;4 ;;119 ;56 ;20 ;1 ;;;;;;215 
;;;101 a 120;;;1 ;1 ;;12 ;4 ;2 ;;;;;;;20 
;;;Total;9.582 ;51.537 ;1.661 ;11.989 ;2.581 ;36.912 ;1.874 ;5.568 ;821 ;;;;;;122.525 
;;Feminino;18 a 21;32 ;277 ;;;;724 ;;;;;;;;;1.033 
;;;22 a 25;130 ;772 ;;1 ;;1.743 ;;;;;;;;;2.646 
;;;26 a 30;386 ;1.892 ;;7 ;1 ;3.989 ;;4 ;;;;;;;6.279 
;;;31 a 40;1.414 ;5.446 ;;58 ;7 ;9.740 ;;19 ;1 ;;;;;;16.685 
;;;41 a 50;1.101 ;4.663 ;33 ;86 ;8 ;9.610 ;9 ;39 ;1 ;;;;;;15.550 
;;;51 a 60;338 ;1.986 ;38 ;76 ;7 ;6.131 ;21 ;29 ;;;;;;;8.626 
;;;61 a 70;68 ;511 ;11 ;16 ;;3.046 ;18 ;15 ;;;;;;;3.685 
;;;71 a 80;6 ;69 ;3 ;3 ;;1.023 ;4 ;5 ;;;;;;;1.113 
;;;81 a 90;;3 ;;;;166 ;2 ;1 ;;;;;;;172 
;;;91 a 100;;;;;;13 ;1 ;;;;;;;;14 
;;;Total;3.475 ;15.619 ;85 ;247 ;23 ;36.185 ;55 ;112 ;2 ;;;;;;55.803 
;;Total;;13.057 ;67.156 ;1.746 ;12.236 ;2.604 ;73.097 ;1.929 ;5.680 ;823 ;;;;;;178.328 
;Pará;Masculino;18 a 21;255 ;20.154 ;48 ;59 ;3 ;3.036 ;1 ;1 ;;;;;;;23.557 
;;;22 a 25;1.431 ;50.735 ;137 ;3.290 ;306 ;6.969 ;8 ;74 ;7 ;;;;;;62.957 
;;;26 a 30;2.774 ;91.229 ;289 ;14.088 ;2.455 ;12.192 ;10 ;237 ;37 ;;;;;;123.311 
;;;31 a 40;7.053 ;193.113 ;950 ;57.277 ;15.381 ;30.231 ;61 ;2.187 ;485 ;;;;;;306.738 
;;;41 a 50;7.547 ;149.927 ;2.865 ;52.905 ;16.729 ;40.767 ;832 ;7.739 ;2.221 ;;;;;;281.532 
;;;51 a 60;5.326 ;76.264 ;5.696 ;24.488 ;7.672 ;39.714 ;3.038 ;10.390 ;2.687 ;;;;;;175.275 
;;;61 a 70;2.535 ;31.215 ;3.586 ;8.803 ;2.718 ;39.364 ;4.754 ;10.029 ;2.409 ;;;;;;105.413 
;;;71 a 80;818 ;9.062 ;831 ;1.402 ;345 ;27.638 ;2.849 ;4.317 ;661 ;;;;;;47.923 
;;;81 a 90;164 ;1.563 ;123 ;198 ;11 ;12.032 ;849 ;1.683 ;112 ;;;;;;16.735 
