Região Habilitação Atual;UF Habilitação Atual;Sexo;Categoria;A-Condutor Moto;AB-Condutor Moto/Carro;AC-Condutor Moto/Caminhão;AD-Condutor Moto/Ônibus;AE-Condutor Moto/Carreta;B-Condutor Carro;C-Condutor Caminhão;D-Condutor Ônibus;E-Condutor Carreta;X-Condutor Ciclomotor;XB-Condutor Ciclomotor/Carro;XC-Condutor Ciclomotor/Caminhão;XD-Condutor Ciclomotor/Ônibus;XE-Condutor Ciclomotor/Carreta;Total
;;;Faixa Etária;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico
;;;61 a 70;5.170 ;52.742 ;8.654 ;17.089 ;5.843 ;74.674 ;11.746 ;19.451 ;7.020 ;;;;;;202.389 
;;;71 a 80;1.807 ;19.434 ;2.060 ;3.694 ;819 ;58.428 ;6.787 ;9.655 ;2.216 ;;;;;;104.900 
;;;81 a 90;499 ;5.034 ;478 ;751 ;51 ;29.068 ;3.124 ;4.091 ;372 ;;;;;;43.468 
;;;91 a 100;69 ;822 ;40 ;78 ;3 ;10.675 ;590 ;836 ;43 ;;;;;;13.156 
;;;101 a 120;2 ;48 ;3 ;3 ;;1.753 ;31 ;47 ;3 ;;;;;;1.890 
;;;Total;62.838 ;943.709 ;33.085 ;190.038 ;76.696 ;490.956 ;31.602 ;73.492 ;26.592 ;;1 ;;;;1.929.009 
;;Feminino;18 a 21;742 ;20.361 ;4 ;6 ;;19.531 ;1 ;;;;;;;;40.645 
;;;22 a 25;2.153 ;44.726 ;10 ;118 ;9 ;38.837 ;3 ;24 ;;;;;;;85.880 
;;;26 a 30;4.705 ;78.073 ;16 ;590 ;54 ;60.667 ;1 ;68 ;4 ;;;;;;144.178 
;;;31 a 40;14.449 ;163.801 ;68 ;2.753 ;383 ;132.665 ;30 ;543 ;33 ;;;;;;314.725 
;;;41 a 50;14.696 ;107.200 ;101 ;2.562 ;435 ;141.436 ;50 ;1.032 ;95 ;;;;;;267.607 
;;;51 a 60;7.535 ;38.643 ;141 ;887 ;144 ;109.643 ;153 ;914 ;71 ;;;;;;158.131 
;;;61 a 70;1.714 ;7.326 ;52 ;156 ;32 ;69.793 ;143 ;439 ;22 ;;;;;;79.677 
