Conta;jan/24;fev/24;mar/24;abr/24;mai/24;jun/24;jul/24;ago/24;set/24;out/24;nov/24;dez/24;Total
CAIXA (EII ESPÉCIE);2.94;2.94;;;;;;;;;0.00;;0.00
BANCO ITAÚ SA;61209.62;73666.43;150360.81;174572.71;176699.38;184065.25;189270.06;158180.27;177354.99;167288.85;150964.75;138133.26;138133.26
ITAUVEST  - APMC/RESGATE;8344.51;8391.31;8440.21;8492.57;8542.05;8589.14;8848.54;8909.90;8969.32;9035.84;9093.00;9160.44;9160.44
POUPANÇA/FRESERVA;12954.07;13012.18;13064.25;13119.73;13179.35;13239.26;13295.54;13354.61;13413.79;13472.91;13534.97;13594.40;13594.40
BCO COOPSICREDI S A;1000.00;1000.00;1000.00;1000.00;1000.00;1000.00;1000.00;1000.00;1000.00;1000.00;1000.00;1000.00;1000.00
